actuator's autocrat's

aspirant's partisan's

alumna's manual's

balm's lamb's

bar's bra's

citadel's dialect's

article's recital's

conservation's conversation's

canoe's ocean's

creator's reactor's

cantor's carton's

statement's testament's

integral's triangle's

german's manger's

mantel's mantle's

male's meal's

planet's platen's

mate's meat's

artery's rarety's

algorithm's logarithm's

hasn't shan't

han't ha'nt

snail's 'snails

lair's liar's

patrol's portal's

layout's outlay's

lap's pal's

awl's law's

atom's moat's

nap's pan's

art's rat's

creditor's director's

scepter's specter's

d' 'd

dirge's ridge's

density's destiny's

dog's god's

lid's 'slid

dolly's lloyd's

door's odor's

where'er where're

ether's there's three's

file's 'slife

hell's she'll

hornet's throne's

lime's mile's

lien's line's

islet's stile's

lemon's melon's

gum's mug's

lion's loin's

lisp's slip's

isn't tin's

pit's tip's

it's 'tis

M' 'm

t' 't

theater-in-the-round theatre-in-the-round

air-to-surface surface-to-air

pepper-and-salt salt-and-pepper

centimeter-gram-second centimetre-gram-second

meter-kilogram-second metre-kilogram-second

Johnny-come-latelies Johnnies-come-lately

air-to-ground ground-to-air

ns-a-vis vis-a-ns

kangaroo-rat rat-kangaroo

quasi-notarial quasi-rational

death-black lath-backed

about-face face-about

back-talk talk-back

bread-eating date-bearing

broad-gauge broad-guage

lamp-bearing palm-bearing

clean-shaped lance-shaped

cask-shaped sack-shaped

carrot-shaped trocar-shaped

steam-clean steam-lance

court-martials courts-martial

coal-tar tar-coal

arm-headed ram-headed

hand-reared hard-earned

dentate-serrate serrate-dentate

death-pale head-plate

rare-shaped sharp-eared

slave-trade star-leaved

self-adulation self-laudation

narrow-gauged narrow-guaged

Anti-allied nail-tailed

hand-wash wash-hand

after-theater after-theatre

earth-eating heart-eating

plant-eater tea-planter

grass-eating tear-gassing

narrow-gauge narrow-guage

earth-shaking heart-shaking

Ann-Marie Marie-Ann

tar-water water-rat

sea-star tessara-

loaf-sugar sugar-loaf

rag-tag tag-rag

all-atoning Anglo-latin

organ-piano piano-organ

hara-kiri hari-kari

ita-palm palmati-

man-woman woman-man

pat-pat tap-tap

apar- para-

black-blue blue-black

blast-borne stable-born

clare-obscure clear-obscure

bare-necked knee-braced

sinew-backed swine-backed

cordate-oblong oblong-cordate

black-red red-black

break-neck neck-break

back-set set-back

chap-book hoop-back

block-saw slow-back

two-barreled world-beater

earth-bound heart-bound

sea-bird side-bar

bead-roll ell-broad

a-be bae-

bearer-off off-bearer

vein-bearing vine-bearing

baker-leg leg-break

break-off off-break

linear-oblong oblong-linear

oblong-ovate ovate-oblong

blue-gray gray-blue

a-tumble bat-mule

by-passer passer-by

boat-fly fly-boat

whiz-bang whi-Zbang

grain-burnt tar-burning

by-pass pass-by

ac- a-c

conico-hemispherical hemispherico-conical

chick-pea pea-chick

corn-crake cracker-on

dead-center dead-centre

dock-tailed tail-docked

cold-draw word-clad

deep-searching speech-reading

well-parceled well-replaced

candle-meter meter-candle metre-candle

lemon-faced melon-faced

fan-crested stern-faced

scarlet-lipped specter-pallid

vice-laden vine-laced

twice-mated twice-tamed

well-crated well-traced

red-scarlet scarlet-red

full-acorned uncalled-for

candle-foot foot-candle

cross-grained cross-reading

